
Name,               pattern,  regexp, reader
ECOSTRESS,          {sensor}{product}_{level}_{var}_{orbit}_{id}_{acquisition_time}_{software}_{product_number}, ECOv[0-9]{3} L[123][CGT]* [A-Z]* [0-9]{5} [0-9]{3} [0-9]{8}T[0-9]{6} [0-9]{4} [0-9]{2}, eoread.ecostress Level_ECOSTRESS
LANDSAT-1-4-MSS,    {sensor}_{level}_{wrs}_{acquisition_time}_{processing_time}_{collection}_{category}, LM0[1-4] L[123](TP|PT|GT|GS) [0-9]{6} [0-9]{8} [0-9]{8} 0[0-9] (RT|T[12]), 
LANDSAT-5-TM,       {sensor}_{level}_{wrs}_{acquisition_time}_{processing_time}_{collection}_{category}, LT05 L[123](TP|PT|GT|GS) [0-9]{6} [0-9]{8} [0-9]{8} 0[0-9] (RT|T[12]), 
LANDSAT-7-ET,       {sensor}_{level}_{wrs}_{acquisition_time}_{processing_time}_{collection}_{category}, LE07 L[123](TP|PT|GT|GS) [0-9]{6} [0-9]{8} [0-9]{8} 0[0-9] (RT|T[12]),
LANDSAT-8-OLI,      {sensor}_{level}_{wrs}_{acquisition_time}_{processing_time}_{collection}_{category}, LC08 L[123](TP|PT|GT|GS) [0-9]{6} [0-9]{8} [0-9]{8} 0[0-9] (RT|T[12]), eoread.landsat8_oli Level_L8_OLI
LANDSAT-9-OLI,      {sensor}_{level}_{wrs}_{acquisition_time}_{processing_time}_{collection}_{category}, LC09 L[123](TP|PT|GT|GS) [0-9]{6} [0-9]{8} [0-9]{8} 0[0-9] (RT|T[12]), eoread.landsat9_oli Level_L9_OLI
SENTINEL-1,         {sensor}_{mode}_{name}_{level}_{start}_{stop}_{orbit}_{mission}_{code}, S1[AB]? (SM|IW|EW|WV) (RAW|SLC|GRD|OCN)[FHM] [012][SA](SH|SV|DH|DV) [0-9]{8}T[0-9]{6} [0-9]{8}T[0-9]{6} [0-9]{6} [0-9A-Z]{6} [0-9A-Z]{4}, 
SENTINEL-2-MSI,     {sensor}_{level}_{acquisition_time}_{processing_baseline}_{relative_orbit}_{tile}_{processing_time}, S2[ABC]? MSIL[12][ABC] [0-9]{8}T[0-9]{6} N[0-9]{4} R[0-9]{3} T[0-9A-Z]{5} [0-9]{8}T[0-9]{6}, eoread.msi Level_MSI
SENTINEL-3-OLCI-FR, {sensor}_{data}_{level}_{type}_{start}_{stop}_{creation}_{id}_{centre}_{class}, S3[AB_] OL [012] [A-Z]FR[A-Z_]{3} [0-9]{8}T[0-9]{6} [0-9]{8}T[0-9]{6} [0-9]{8}T[0-9]{6} [0-9A-Z_]{17} [0-9A-Z_]{3} [0-9A-Z_]{8}, eoread.olci Level_OLCI
SENTINEL-3-OLCI-RR, {sensor}_{data}_{level}_{type}_{start}_{stop}_{creation}_{id}_{centre}_{class}, S3[AB_] OL [012] [A-Z]RR[A-Z_]{3} [0-9]{8}T[0-9]{6} [0-9]{8}T[0-9]{6} [0-9]{8}T[0-9]{6} [0-9A-Z_]{17} [0-9A-Z_]{3} [0-9A-Z_]{8}, eoread.olci Level_OLCI
SENTINEL-3-SLSTR,   {sensor}_{data}_{level}_{type}_{start}_{stop}_{creation}_{id}_{centre}_{class}, S3[AB_] SL [012] [A-Z_]{6} [0-9]{8}T[0-9]{6} [0-9]{8}T[0-9]{6} [0-9]{8}T[0-9]{6} [0-9A-Z_]{17} [0-9A-Z_]{3} [0-9A-Z_]{8},
SENTINEL-3-SRAL,    {sensor}_{data}_{level}_{type}_{start}_{stop}_{creation}_{id}_{centre}_{class}, S3[AB_] SR [012] [A-Z_]{6} [0-9]{8}T[0-9]{6} [0-9]{8}T[0-9]{6} [0-9]{8}T[0-9]{6} [0-9A-Z_]{17} [0-9A-Z_]{3} [0-9A-Z_]{8},
SENTINEL-5P-TROPOMI,{sensor}_{class}_{type}_{instance_id}, S5P [A-Z]{4} [A-Z0-9_]{4}[A-Z0-9_]{6} [A-Z0-9_]*,_
SENTINEL-6-HR,      {sensor}_{consumer}_{level}_{type}_{start}_{end}_{generation_time}_{instance}_{source}_{environment}_{class_id}, S6[AB_] [A-Z4]{2} [123_][A-Z_] HR[_]{5} [0-9]{8}T[0-9]{6} [0-9]{8}T[0-9]{6} [0-9]{8}T[0-9]{6} [0-9A-Z_]{16} [A-Z_]{4} [A-Z_]{3} [A-Z0-9_]{6},
SENTINEL-6-LR,      {sensor}_{consumer}_{level}_{type}_{start}_{end}_{generation_time}_{instance}_{source}_{environment}_{class_id}, S6[AB_] [A-Z4]{2} [123_][A-Z_] LR[_]{5} [0-9]{8}T[0-9]{6} [0-9]{8}T[0-9]{6} [0-9]{8}T[0-9]{6} [0-9A-Z_]{16} [A-Z_]{4} [A-Z_]{3} [A-Z0-9_]{6}, 
VENUS,              {sensor}_{acquisition_time}_{level}_{site}_{software}_{version}, VENUS-XS [0-9]{8}-[0-9]{6}-[0-9]{3} L[123][ABC] [A-Z]* [A-Z] V[0-9-]*, eoread.venus Level_VENUS
